Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2469269,00000240,false,Rx,0,2,72,30,00,00,00,00,00,00,
2479277,00000240,false,Rx,0,2,73,31,00,00,00,00,00,00,
2485178,00000118,false,Rx,0,8,22,00,E8,20,00,00,01,00,
2485381,00000108,false,Rx,0,8,89,00,00,00,00,00,80,00,
2485583,00000136,false,Rx,0,8,00,C0,00,80,FF,07,00,7D,
2485785,00000142,false,Rx,0,5,43,00,00,00,00,00,00,00,
2486072,00000148,false,Rx,0,8,60,00,00,00,13,00,04,00,
2486282,00000206,false,Rx,0,8,00,00,00,00,00,00,00,08,
2486567,00000119,false,Rx,0,8,4E,00,40,00,04,00,00,F0,
2486769,0000011A,false,Rx,0,8,5F,00,40,00,04,00,00,00,
2487056,000007F6,false,Rx,0,8,E0,DE,BD,7B,F7,70,71,61,
2487266,000007F6,false,Rx,0,8,01,00,00,00,F4,EB,7F,03,
2487468,000007F6,false,Rx,0,8,42,4F,4F,4F,4F,7F,BF,EC,
2487754,000007F6,false,Rx,0,8,03,C3,C3,C3,7A,7A,7A,7A,
2487958,000007F6,false,Rx,0,8,44,4F,4F,4F,2F,7B,F6,EC,
2488168,000007F6,false,Rx,0,8,05,FD,E8,A7,9F,FE,61,C3,
2488369,000007F6,false,Rx,0,8,46,4F,4F,4F,0F,E8,07,FD,
2488655,000007F6,false,Rx,0,8,27,E0,10,D0,0F,F0,01,C3,
2488857,000007F6,false,Rx,0,8,48,BF,7E,3D,3D,3D,BD,EC,
2489154,000007F6,false,Rx,0,8,09,FD,FA,FB,FB,B3,03,00,
2489357,000007F6,false,Rx,0,8,2A,7B,F6,EC,D9,B3,CB,0E,
2489559,000007F6,false,Rx,0,8,0B,F8,FD,FC,FC,FF,FF,FF,
2489845,000007F6,false,Rx,0,8,0C,B2,7F,BF,EF,27,14,02,
2490047,000007F6,false,Rx,0,8,4D,28,04,A1,50,28,F4,7F,
2490339,000007F6,false,Rx,0,8,0E,00,D0,0F,00,00,00,00,
2495147,00000118,false,Rx,0,8,23,01,E8,20,00,00,01,00,
2495349,00000108,false,Rx,0,8,8A,01,00,00,00,00,80,00,
2495635,00000136,false,Rx,0,8,00,C0,00,80,FF,17,00,8D,
2495754,00000256,false,Rx,0,4,D8,80,00,00,00,00,00,00,
2495957,00000142,false,Rx,0,5,44,01,00,00,00,00,00,00,
2496248,00000286,false,Rx,0,7,85,00,00,01,00,FC,00,00,
2496451,00000148,false,Rx,0,8,61,01,00,00,13,00,04,00,
2496739,00000206,false,Rx,0,8,00,00,00,00,00,00,10,18,
2496944,00000119,false,Rx,0,8,4F,01,40,00,04,00,00,F0,
2497154,0000011A,false,Rx,0,8,60,01,40,00,04,00,00,00,
2499280,00000240,false,Rx,0,2,74,32,00,00,00,00,00,00,
2505109,00000118,false,Rx,0,8,24,02,E8,20,00,00,01,00,
2505402,00000745,false,Rx,0,8,00,00,00,00,00,00,00,00,
2505604,00000108,false,Rx,0,8,05,02,00,00,00,23,D7,00,
2505889,00000745,false,Rx,0,8,01,00,00,00,00,00,00,00,
2506094,00000136,false,Rx,0,8,00,C0,00,80,FF,27,00,9D,
2506387,00000745,false,Rx,0,8,02,00,00,00,00,00,00,00,
2506588,00000142,false,Rx,0,5,45,02,00,00,00,00,00,00,
2506791,00000745,false,Rx,0,8,03,00,00,F0,DE,7B,EF,01,
2507078,00000745,false,Rx,0,8,04,00,00,00,00,00,00,00,
2507288,00000745,false,Rx,0,8,05,00,00,00,00,00,B4,B4,
2507490,00000745,false,Rx,0,8,06,B4,B4,00,00,00,00,00,
2515135,00000118,false,Rx,0,8,25,03,E8,20,00,00,01,00,
2515344,00000108,false,Rx,0,8,D6,03,00,00,00,DA,F0,00,
2515629,00000136,false,Rx,0,8,00,C0,00,80,FF,37,00,AD,
2515748,00000142,false,Rx,0,5,46,03,00,00,00,00,00,00,
2516035,00000148,false,Rx,0,8,62,02,00,00,13,00,04,00,
2516247,00000206,false,Rx,0,8,00,00,00,00,00,00,20,28,
2516533,00000119,false,Rx,0,8,50,02,40,00,04,00,00,F0,
2516736,0000011A,false,Rx,0,8,61,02,40,00,04,00,00,00,
2519285,00000240,false,Rx,0,2,75,33,00,00,00,00,00,00,
2528746,00000118,false,Rx,0,8,26,04,E8,20,00,00,01,00,
2528834,00000108,false,Rx,0,8,6D,04,00,00,00,5E,02,00,
2528921,00000136,false,Rx,0,8,00,C0,00,80,FF,47,00,BD,
2529010,00000142,false,Rx,0,5,47,04,00,00,00,00,00,00,
2535076,00000118,false,Rx,0,8,27,05,E8,20,00,00,01,00,
2535369,00000108,false,Rx,0,8,56,05,00,00,00,58,F0,00,
