Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18970798,000005F4,false,Rx,0,8,00,09,1C,46,00,00,00,01,
19045528,00000154,false,Rx,0,8,00,30,00,00,00,00,00,85,
19055526,00000154,false,Rx,0,8,02,30,00,00,00,00,20,A7,
19061257,00000266,false,Rx,0,8,8B,1A,00,00,12,12,12,00,
19061542,00000118,false,Rx,0,8,22,00,E8,20,00,00,01,00,
19065509,00000154,false,Rx,0,8,02,30,00,00,00,00,40,C7,
19071239,00000266,false,Rx,0,8,8B,1A,00,00,25,25,21,00,
19071523,00000526,false,Rx,0,8,43,80,00,00,03,00,00,00,
19071642,00000126,false,Rx,0,3,00,00,00,00,00,00,00,00,
19071927,00000118,false,Rx,0,8,23,01,E8,20,00,00,01,00,
19072048,000001D6,false,Rx,0,5,80,C0,0D,00,00,00,00,00,
19072258,00000268,false,Rx,0,5,25,25,FF,01,FF,00,00,00,
19072544,00000396,false,Rx,0,8,F7,FF,FF,28,FF,FF,FF,FF,
19075513,00000154,false,Rx,0,8,02,30,00,00,00,00,60,E7,
19075798,00000525,false,Rx,0,8,38,00,03,00,00,00,03,00,
19081277,00000266,false,Rx,0,8,8C,10,00,00,17,17,14,00,
19081480,00000656,false,Rx,0,8,0A,01,0C,32,FC,00,05,00,
19081764,00000526,false,Rx,0,8,2F,80,70,FE,00,00,00,00,
19081968,00000376,false,Rx,0,8,3A,39,28,50,39,95,7D,03,
19082261,00000118,false,Rx,0,8,24,02,E8,20,00,00,01,00,
19082464,00000556,false,Rx,0,7,39,39,00,39,00,28,FF,00,
19082665,00000757,false,Rx,0,8,31,00,00,00,00,00,00,00,
19082868,00000557,false,Rx,0,3,50,48,05,00,00,00,00,00,
19083073,00000757,false,Rx,0,8,42,00,00,00,00,00,00,2E,
19083367,00000356,false,Rx,0,8,00,00,00,00,00,40,02,00,
19083568,00000757,false,Rx,0,8,43,00,00,00,00,00,00,58,
19083853,00000357,false,Rx,0,8,04,00,00,00,00,00,00,00,
19084057,00000757,false,Rx,0,8,44,50,A9,39,B0,59,71,8B,
19084278,0000035A,false,Rx,0,8,00,00,00,00,00,00,00,00,
19084563,00000757,false,Rx,0,8,46,28,28,28,28,28,28,28,
19084764,0000035B,false,Rx,0,8,00,00,00,00,00,00,00,00,
19085051,00000757,false,Rx,0,8,48,28,28,00,00,00,00,00,
19085179,00000279,false,Rx,0,2,04,00,00,00,00,00,00,00,
19085380,00000757,false,Rx,0,8,2B,00,00,00,00,00,00,00,
19085666,00000154,false,Rx,0,8,02,30,00,00,00,00,80,07,
19085784,00000336,false,Rx,0,3,FF,01,FF,00,00,00,00,00,
19085988,000003B6,false,Rx,0,4,FF,FF,FF,FF,00,00,00,00,
